inproceedings:ID;author:string[];author-aux:string[];author-orcid:string[];booktitle:string;cdrom:string[];cite:string[];cite-label:string[];crossref:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];key:string;mdate:date;month:string;note:string;note-type:string;number:string;pages:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string;url:string;volume:int;year:int
6578809;Abderrahim Benslimane|Abderrezak Rachedi|D. Diwakar;;0000-0001-9307-6132|0000-0002-8777-3334;ICC;;;;conf/icc/2008;;;https://doi.org/10.1109/ICC.2008.426;;;conf/icc/BenslimaneRD08;2017-09-16;;;;;2233-2237;;;;Relative Fairness and Optimized throughput for Mobile Ad Hoc Networks.;;;db/conf/icc/icc2008.html#BenslimaneRD08;;2008
6585323;Ezio Biglieri|Giorgio Taricco|Giuseppe Caire;;;ICC (3);;;;conf/icc/1997;;;https://doi.org/10.1109/ICC.1997.595031;;;conf/icc/CaireTB97;2020-07-22;;;;;1463-1467;;;;Bit-Interleaved Coded Modulation.;;;db/conf/icc/icc1997.html#CaireTB97;;1997
6587360;Alvaro Sierra-Henao|Andrés Muñoz-Villamizar|Elyn L. Solano-Charris|Javier Santos 0001;;0000-0002-0549-7058|0000-0003-2542-0645;SOHOMA;;;;conf/sohoma/2019;;;https://doi.org/10.1007/978-3-030-27477-1_28;;;conf/sohoma/Sierra-HenaoMS019;2020-03-27;;;;;366-376;;;;Sustainable Development Supported by Industry 4.0: A Bibliometric Analysis.;;;db/conf/sohoma/sohoma2019.html#Sierra-HenaoMS019;;2019
6588864;Asnor Juraiza Ishak|Iman Ahmed|Ishak Bin Aris|Mohammad Hamiruce Marhaban;;0000-0003-0864-8656|0000-0003-1524-1440;ASCC;;;;conf/ascc/2015;;;https://doi.org/10.1109/ASCC.2015.7244843;;;conf/ascc/AhmedAMI15;2018-11-02;;;;;1-6;;;;Power consumption rate analysis of bioloid humanoid robot: Towards energy saving and source development.;;;db/conf/ascc/ascc2015.html#AhmedAMI15;;2015
6592329;Kan Chang|Tuanfa Qin|Xiangyan Liang|Zhenhua Tang;;;CIT;;;;conf/IEEEcit/2014;;;http://doi.ieeecomputersociety.org/10.1109/CIT.2014.167|https://doi.org/10.1109/CIT.2014.167;;;conf/IEEEcit/TangLQC14;2017-05-26;;;;;435-440;;;;Correlation Noise Estimation for Wyner-Ziv Video Transmission over Wireless Network.;;;db/conf/IEEEcit/IEEEcit2014.html#TangLQC14;;2014
6597269;Gal Oren 0001|Harel Levin|Leonid Barenboim;;;IWCMC;;;;conf/iwcmc/2017;;;https://doi.org/10.1109/IWCMC.2017.7986419;;;conf/iwcmc/OrenBL17;2019-08-17;;;;;980-986;;;;Adaptive Distributed Hierarchical Sensing algorithm for reduction of wireless sensor network cluster-heads energy consumption.;;;db/conf/iwcmc/iwcmc2017.html#OrenBL17;;2017
6597901;Wei Tian|Yejun He;;;IWCMC;;;;conf/iwcmc/2017;;;https://doi.org/10.1109/IWCMC.2017.7986363;;;conf/iwcmc/HeT17;2017-07-24;;;;;659-663;;;;A broadband dual-polarized base station antenna element for European Digital Dividend, CDMA800 and GSM900 applications.;;;db/conf/iwcmc/iwcmc2017.html#HeT17;;2017
6601698;Hisashi Sasaki|Takuya Katayama;;;POPL;;;;conf/popl/1986;;;https://doi.org/10.1145/512644.512647;;;conf/popl/KatayamaS86;2018-11-06;;;;;26-37;;;;Global Storage Allocation in Attribute Evaluation.;;;db/conf/popl/popl86.html#KatayamaS86;;1986
6603667;Wolfram Büttner;;;ARCS;;;;conf/arcs/1990;;;;;;conf/arcs/Buttner90;2002-03-21;;;;;1-8;;;;Neuronale Netze - Soft - und Hardwarelösungen hochdimensionaler Approximationsprobleme.;;;db/conf/arcs/arcs1990.html#Buttner90;;1990
6603812;Franz Hutner|Sabine Canditt|Winfried Glaeser;;;ARCS;;;;conf/arcs/1992;;;;;;conf/arcs/CandittHG92;2002-04-15;;;;;318-332;;;;Developing a Processing Node Architecture for a Parallel Computer.;;;db/conf/arcs/arcs1992.html#CandittHG92;;1992
